Level,MaxHp,MaxSt,GainSt,AttackCost1,AttackCost2,AttackCost3,AvoidCost,StepMag,AttackMag,AtSpeedMag,NegTime,NegProb,Can1B
1,80,150,8.5,30,35,40,25,1,0.7,0.85,1.5,80,0
2,100,150,10,27.5,32.5,37.5,20,1.2,1,1,1.2,66.6,0
3,125,195,10.75,27.5,32.5,37.5,18.5,1.35,1.165,1.06,1.1,59.1,0
4,150,210,11,27.5,32.5,37.5,18,1.4,1.22,1.08,1,56.6,0
5,200,240,11.5,27.5,32.5,37.5,17,1.45,1.45,1.1,0.9,44.1,1
6,250,255,11.8,27.5,32.5,37.5,16.4,1.5,1.54,1.13,0.8,39.6,1
7,300,275,12.1,27.5,32.5,37.5,15.8,1.55,1.63,1.17,0.7,35.1,1
8,350,290,12.4,27.5,32.5,37.5,15.2,1.6,1.72,1.2,0.6,30.6,1
9,375,310,12.7,27.5,32.5,37.5,14.6,1.65,1.81,1.23,0.55,26.1,1
10,400,350,13,27.5,32.5,37.5,15.2,1.8,1.75,1.25,0.5,25,1
