Level,MaxHp,MaxSt,GainSt,AttackCost1,AttackCost2,AttackCost3,AvoidCost,StepMag,AttackMag,AtSpeedMag,NegTime,NegProb,Can1B
1,80.0,150.0,8.5,30.0,35.0,40.0,25.0,1.0,0.7,0.85,1.0,80.0,0
2,100.0,150.0,10.0,25.0,30.0,35.0,20.0,1.2,1.0,1.0,0.8,66.6,0
3,145.0,195.0,10.75,25.0,30.0,35.0,18.5,1.35,1.15,1.06,0.71,59.1,0
4,160.0,210.0,11.0,25.0,30.0,35.0,18.0,1.4,1.2,1.08,0.68,56.6,0
5,225.0,237.5,11.5,25.0,30.0,35.0,17.0,1.45,1.425,1.125,0.6,44.1,1
6,250.0,255.0,11.8,25.0,30.0,35.0,16.4,1.5,1.51,1.15,0.56,39.6,1
7,275.0,272.5,12.1,25.0,30.0,35.0,15.8,1.55,1.595,1.175,0.52,35.1,1
8,300.0,290.0,12.4,25.0,30.0,35.0,15.2,1.6,1.68,1.2,0.48,30.6,1
9,325.0,307.5,12.7,25.0,30.0,35.0,14.6,1.65,1.765,1.225,0.44,26.1,1
10,400.0,350.0,13.0,25.0,30.0,35.0,15.2,1.8,1.75,1.25,0.4,25.0,1
